fk_pmid,year,abstract,diversity,soc_diversity,h1_totals,h2_totals,h3_totals
25061857,2014,"Human stem cell factor initiates a diverse array of cellular responses, including hematopoiesis, cell proliferation, differentiation, migration and survival. To explore the relationship between its structure and function, we produced recombinant soluble human stem cell factor1-165 (wild type) and human stem cell factor1-141 (C-terminal truncated) in a yeast expression system and compared their biological activities and thermal stabilities. The biological activity of the two proteins was measured as a function of TF-1 cell viability and effects on downstream signaling targets after incubation. We found that these proteins enhanced cell viability and downstream signaling to a similar extent, in a dose-dependent manner. The biological activity of recombinant human stem cell factor1-165 was significantly greater than that of recombinant human stem cell factor1-141 after heating the proteins (100 ng/mL) at 25-110°C for 10 minutes (P<0.05 for all temperatures). In addition, circular dichroism spectral analysis indicated that β-sheet structures were altered in recombinant human stem cell factor1-141 but not recombinant human stem cell factor1-165 after heating at 90°C for 15 or 30 min. Molecular modeling and limited proteolytic digestion were also used to compare the thermo stability between human stem cell factor1-165 and human stem cell factor1-141. Together, these data indicate that stem cell factor1-165 is more thermostable than stem cell factor1-141. ",1,0,1,0,0
19065780,2008,"The subunit structure of the B-cell antigen receptor (BCR) and its associated compartmentalization of function confer enormous flexibility for generating signals and directing these toward specific and divergent cell fate decisions. Like all the multichain immune recognition receptors discussed in this volume, assembly of these multi-unit complexes sets these receptors apart from almost all other cell surface signal transduction proteins and affords them the ability to participate in almost all of the diverse aspects of, in this case, B-cell biology. We discuss here the structural aspects of the BCR and its associated coreceptors and relate these mechanistically to how BCR signaling can be directed towards specific fate decisions. By doing so, the BCR plays a pivotal role in ensuring the effective and appropriate B-cell response to antigen.",1,0,1,0,0
22351883,2012,"OBJECTIVE:
In this trial, we compared Child Protective Services (CPS) recidivism outcomes between the home-based SafeCare (SC) model for child neglect and comparable home-based services, but without SC modules, for parents in the CPS system across 2 quality control strategies: coached (C) and uncoached implementation. SC is a home-based behavioral skills training model designed for neglecting or maltreating parents. The study was conducted in a scaled-up, statewide implementation setting.
METHODS:
Two thousand one hundred seventy-five maltreating parents, treated by 219 home visitors, were enrolled and treated in a 2 × 2 (SC versus services as usual × C versus uncoached implementation strategy) randomized cluster experiment. Cases were followed for an average of 6 years for CPS recidivism events. Subpopulation analyses were conducted for parents meeting customary SC inclusion criteria.
RESULTS:
Consistently significant main effects in favor of SC were found across simple and more complex modeling approaches (hazard ratios = 0.74-0.83). Larger effects were found among the subpopulation meeting customary SC inclusion criteria. C implementation yielded smaller and occasionally significant effects in analyses that included more diverse cases falling outside customary SC inclusion criteria.
CONCLUSIONS:
Findings support the adoption and use of SC within CPS home-based services systems. C implementation may be especially valuable for cases where the client-model fit is less strong.
",1,1,3,0,0
28368003,2017,"The Pictet-Spengler reaction (PSR) involves the condensation and ring closure between a β-arylethylamine and a carbonyl compound. The combination of dopamine and ketones in a PSR leads to the formation of 1,1'-disubstituted tetrahydroisoquinolines (THIQs), structures that are challenging to synthesize and yet are present in a number of bioactive natural products and synthetic pharmaceuticals. Here we have discovered that norcoclaurine synthase from Thalictrum flavum (TfNCS) can catalyse the PSR between dopamine and unactivated ketones, thus facilitating the facile biocatalytic generation of 1,1'-disubstituted THIQs. Variants of TfNCS showing improved conversions have been identified and used to synthesize novel chiral 1,1'-disubstituted and spiro-THIQs. Enzyme catalysed PSRs with unactivated ketones are unprecedented, and, furthermore, there are no equivalent stereoselective chemical methods for these transformations. This discovery advances the utility of enzymes for the generation of diverse THIQs in vitro and in vivo.",1,0,1,0,0
28348235,2017,"Plant roots play a dominant role in shaping the rhizosphere, the environment in which interaction with diverse microorganisms occurs. Tracking the dynamics of root-microbe interactions at high spatial resolution is currently limited because of methodological intricacy. Here, we describe a microfluidics-based approach enabling direct imaging of root-bacteria interactions in real time. The microfluidic device, which we termed tracking root interactions system (TRIS), consists of nine independent chambers that can be monitored in parallel. The principal assay reported here monitors behavior of fluorescently labeled ",1,0,1,0,0
32719416,2020,"Grain quality traits determine the classification of registered wheat (Triticum aestivum L.) varieties. Although environmental factors and crop management practices exert a considerable influence on wheat quality traits, a significant proportion of the variance is attributed to the genetic factors. To identify the underlying genetic factors of wheat quality parameters viz., grain protein content (GPC), grain starch content (GSC), and grain hardness (GH), we evaluated 372 diverse European wheat varieties in replicated field trials in up to eight environments. We observed that all of the investigated traits hold a wide and significant genetic variation, and a significant negative correlation exists between GPC and GSC plus grain yield. Our association analyses based on 26,694 high-quality single nucleotide polymorphic markers revealed a strong quantitative genetic nature of GPC and GSC with associations on groups 2, 3, and 6 chromosomes. The identification of known Puroindoline-b gene for GH provided a positive analytic proof for our studies. We report that a locus QGpc.ipk-6A controls both GPC and GSC with opposite allelic effects. Based on wheat's reference and pan-genome sequences, the physical characterization of two loci viz., QGpc.ipk-2B and QGpc.ipk-6A facilitated the identification of the candidate genes for GPC. Furthermore, by exploiting additive and epistatic interactions of loci, we evaluated the prospects of predictive breeding for the investigated traits that suggested its efficient use in the breeding programs.",1,0,1,0,1
19383155,2009,"BACKGROUND:
Shotgun sequences of DNA extracts from whole organisms allow a comprehensive assessment of possible symbionts. The current project makes use of four shotgun datasets from three species of the planktonic freshwater crustaceans Daphnia: one dataset from clones of D. pulex and D. pulicaria and two datasets from one clone of D. magna. We analyzed these datasets with three aims: First, we search for bacterial symbionts, which are present in all three species. Second, we search for evidence for Cyanobacteria and plastids, which had been suggested to occur as symbionts in a related Daphnia species. Third, we compare the metacommunities revealed by two different 454 pyrosequencing methods (GS 20 and GS FLX).
RESULTS:
In all datasets we found evidence for a large number of bacteria belonging to diverse taxa. The vast majority of these were Proteobacteria. Of those, most sequences were assigned to different genera of the Betaproteobacteria family Comamonadaceae. Other taxa represented in all datasets included the genera Flavobacterium, Rhodobacter, Chromobacterium, Methylibium, Bordetella, Burkholderia and Cupriavidus. A few taxa matched sequences only from the D. pulex and the D. pulicaria datasets: Aeromonas, Pseudomonas and Delftia. Taxa with many hits specific to a single dataset were rare. For most of the identified taxa earlier studies reported the finding of related taxa in aquatic environmental samples. We found no clear evidence for the presence of symbiotic Cyanobacteria or plastids. The apparent similarity of the symbiont communities of the three Daphnia species breaks down on a species and strain level. Communities have a similar composition at a higher taxonomic level, but the actual sequences found are divergent. The two Daphnia magna datasets obtained from two different pyrosequencing platforms revealed rather similar results.
CONCLUSIONS:
Three clones from three species of the genus Daphnia were found to harbor a rich community of symbionts. These communities are similar at the genus and higher taxonomic level, but are composed of different species. The similarity of these three symbiont communities hints that some of these associations may be stable in the long-term.
",1,0,1,0,0
30352832,2018,"Carrots are among the richest sources of provitamin A carotenes in the human diet, but genetic variation in the carotenoid pathway does not fully explain the high levels of carotenoids in carrot roots. Using a diverse collection of modern and historic domesticated varieties, and wild carrot accessions, an association analysis for orange pigmentation revealed a significant genomic region that contains the ",1,0,1,0,0
17194221,2006,"Ongoing modernization in India has elevated the prevalence of many complex genetic diseases associated with a western lifestyle and diet to near-epidemic proportions. However, although India comprises more than one sixth of the world's human population, it has largely been omitted from genomic surveys that provide the backdrop for association studies of genetic disease. Here, by genotyping India-born individuals sampled in the United States, we carry out an extensive study of Indian genetic variation. We analyze 1,200 genome-wide polymorphisms in 432 individuals from 15 Indian populations. We find that populations from India, and populations from South Asia more generally, constitute one of the major human subgroups with increased similarity of genetic ancestry. However, only a relatively small amount of genetic differentiation exists among the Indian populations. Although caution is warranted due to the fact that United States-sampled Indian populations do not represent a random sample from India, these results suggest that the frequencies of many genetic variants are distinctive in India compared to other parts of the world and that the effects of population heterogeneity on the production of false positives in association studies may be smaller in Indians (and particularly in Indian-Americans) than might be expected for such a geographically and linguistically diverse subset of the human population.",1,0,1,0,16
21533020,2011,"Previous genetic studies have suggested a history of sub-Saharan African gene flow into some West Eurasian populations after the initial dispersal out of Africa that occurred at least 45,000 years ago. However, there has been no accurate characterization of the proportion of mixture, or of its date. We analyze genome-wide polymorphism data from about 40 West Eurasian groups to show that almost all Southern Europeans have inherited 1%-3% African ancestry with an average mixture date of around 55 generations ago, consistent with North African gene flow at the end of the Roman Empire and subsequent Arab migrations. Levantine groups harbor 4%-15% African ancestry with an average mixture date of about 32 generations ago, consistent with close political, economic, and cultural links with Egypt in the late middle ages. We also detect 3%-5% sub-Saharan African ancestry in all eight of the diverse Jewish populations that we analyzed. For the Jewish admixture, we obtain an average estimated date of about 72 generations. This may reflect descent of these groups from a common ancestral population that already had some African ancestry prior to the Jewish Diasporas.",1,1,2,0,23
28683834,2017,"BACKGROUND:
The prevalence of acute malnutrition is often high in emergency-affected populations and is associated with elevated mortality risk and long-term health consequences. Increasingly, cash transfer programmes (CTP) are used instead of direct food aid as a nutritional intervention, but there is sparse evidence on their nutritional impact. We aim to understand whether CTP reduces acute malnutrition and its known risk factors.
METHODS/DESIGN:
A non-randomised, cluster-controlled trial will assess the impact of an unconditional cash transfer of US$84 per month for 5 months, a single non-food items kit, and free piped water on the risk of acute malnutrition in children, aged 6-59 months. The study will take place in camps for internally displaced persons (IDP) in peri-urban Mogadishu, Somalia. A cluster will consist of one IDP camp and 10 camps will be allocated to receive the intervention based on vulnerability targeting criteria. The control camps will then be selected from the same geographical area. Needs assessment data indicates small differences in vulnerability between camps. In each trial arm, 120 households will be randomly sampled and two detailed household surveys will be implemented at baseline and 3 months after the initiation of the cash transfer. The survey questionnaire will cover risk factors for malnutrition including household expenditure, assets, food security, diet diversity, coping strategies, morbidity, WASH, and access to health care. A community surveillance system will collect monthly mid-upper arm circumference measurements from all children aged 6-59 months in the study clusters to assess the incidence of acute malnutrition over the duration of the intervention. Process evaluation data will be compiled from routine quantitative programme data and primary qualitative data collected using key informant interviews and focus group discussions. The UK Department for International Development will provide funding for this study. The European Civil Protection and Humanitarian Aid Operations will fund the intervention. Concern Worldwide will implement the intervention as part of their humanitarian programming.
DISCUSSION:
This non-randomised cluster controlled trial will provide needed evidence on the role of unconditional CTP in reducing the risk of acute malnutrition among IDP in this context.
TRIAL REGISTRATION:
ISRCTN29521514 . Registered 19 January 2016.
",1,1,3,0,2
19535379,2009,"Connexin40 (Cx40) is a major gap-junction protein in the atrial myocardium. In the heart, gap junctions are responsible for cell-to-cell conduction of the action potential. In several cardiac diseases, the expression of connexins is changed and is associated with increased propensity for arrhythmias. Atrial fibrillation (AF) is the most common arrhythmia in man with a diverse clinical presentation, different underlying mechanisms, and difficult treatment. The vulnerability to arrhythmias of the heart is determined by the combined presence of an arrhythmogenic substrate and initiating triggers. The arrhythmogenic substrate is formed by reduced effective refractory period, enhanced spatial dispersion of refractoriness, or abnormal atrial impulse conduction. Initiating triggers of AF most frequently originate from firing foci in the pulmonary veins and/or superior caval vein. Prolonged episodes of AF result in electrical and structural remodelling that favours the reoccurrence or perpetuation of AF. This electrical remodelling embodies changes in Cx40 expression and distribution, both in the atrial myocardium itself and in the thoracic veins. In addition, Cx40 gene mutations or polymorphisms give an inherited predisposition to AF. This review focuses on the role of Cx40 in AF, showing that abnormal Cx40 expression is correlated with both trigger formation from the thoracic veins as well as enhanced vulnerability of the atrial myocardium to AF.",1,1,2,0,0
26833286,2016,"The Pheretima complex within the Megascolecidae family is a major earthworm group. Recently, the systematic status of the Pheretima complex based on morphology was challenged by molecular studies. In this study, we carry out the first comparative mitogenomic study in oligochaetes. The mitogenomes of 15 earthworm species were sequenced and compared with other 9 available earthworm mitogenomes, with the main aim to explore their phylogenetic relationships and test different analytical approaches on phylogeny reconstruction. The general earthworm mitogenomic features revealed to be conservative: all genes encoded on the same strand, all the protein coding loci shared the same initiation codon (ATG), and tRNA genes showed conserved structures. The Drawida japonica mitogenome displayed the highest A + T content, reversed AT/GC-skews and the highest genetic diversity. Genetic distances among protein coding genes displayed their maximum and minimum interspecific values in the ATP8 and CO1 genes, respectively. The 22 tRNAs showed variable substitution patterns between the considered earthworm mitogenomes. The inclusion of rRNAs positively increased phylogenetic support. Furthermore, we tested different trimming tools for alignment improvement. Our analyses rejected reciprocal monophyly among Amynthas and Metaphire and indicated that the two genera should be systematically classified into one. ",1,0,1,0,0
10319256,1999,"The mammalian major histocompatibility complex (MHC) has taught both immunologists and evolutionary biologists a great deal about the patterns and processes that have led to immune defenses. Driven principally by human and mouse studies, comparative MHC projects among other mammalian species offer certain advantages in connecting MHC genome characters to natural situations. We have studied the MHC in the domestic cat and in several wild species of Felidae. Our observations affirm class I and class II homology with other mammalian orders, derivative gene duplications during the Felidae radiation, abundant persistent trans-species allele polymorphism, recombination-derived amino acid motifs, and inverted ratios of non-synonymous to silent substitutions in the MHC peptide-binding regions, consistent with overdominant selection in class I and II genes. MHC diversity as quantified in population studies is a powerful barometer of historic demographic reduction for several endangered species including cheetahs, Asiatic lions, Florida panthers and tigers. In two cases (Florida panther and cheetah), reduced MHC variation may be contributing to uniform population sensitivity to emerging infectious pathogens. The Felidae species, nearly all endangered and monitored for conservation concerns, have allowed a glimpse of species adaptation, mediated by MHC divergence, using comparative inferences drawn from human and mouse models.",1,0,1,0,2
19846850,2009,"BACKGROUND:
Recent studies indicate an increased frequency of mutations in the gene encoding glucocerebrosidase (GBA), a deficiency of which causes Gaucher's disease, among patients with Parkinson's disease. We aimed to ascertain the frequency of GBA mutations in an ethnically diverse group of patients with Parkinson's disease.
METHODS:
Sixteen centers participated in our international, collaborative study: five from the Americas, six from Europe, two from Israel, and three from Asia. Each center genotyped a standard DNA panel to permit comparison of the genotyping results across centers. Genotypes and phenotypic data from a total of 5691 patients with Parkinson's disease (780 Ashkenazi Jews) and 4898 controls (387 Ashkenazi Jews) were analyzed, with multivariate logistic-regression models and the Mantel-Haenszel procedure used to estimate odds ratios across centers.
RESULTS:
All 16 centers could detect two GBA mutations, L444P and N370S. Among Ashkenazi Jewish subjects, either mutation was found in 15% of patients and 3% of controls, and among non-Ashkenazi Jewish subjects, either mutation was found in 3% of patients and less than 1% of controls. GBA was fully sequenced for 1883 non-Ashkenazi Jewish patients, and mutations were identified in 7%, showing that limited mutation screening can miss half the mutant alleles. The odds ratio for any GBA mutation in patients versus controls was 5.43 across centers. As compared with patients who did not carry a GBA mutation, those with a GBA mutation presented earlier with the disease, were more likely to have affected relatives, and were more likely to have atypical clinical manifestations.
CONCLUSIONS:
Data collected from 16 centers demonstrate that there is a strong association between GBA mutations and Parkinson's disease.
",1,1,2,1,14
32553109,2020,"Traditional cultivation approaches in microbiology are labor-intensive, low-throughput, and yield biased sampling of environmental microbes due to ecological and evolutionary factors. New strategies are needed for ample representation of rare taxa and slow-growers that are often outcompeted by fast-growers in cultivation experiments. Here we describe a microfluidic platform that anaerobically isolates and cultivates microbial cells in millions of picoliter droplets and automatically sorts them based on colony density to enhance slow-growing organisms. We applied our strategy to a fecal microbiota transplant (FMT) donor stool using multiple growth media, and found significant increase in taxonomic richness and larger representation of rare and clinically relevant taxa among droplet-grown cells compared to conventional plates. Furthermore, screening the FMT donor stool for antibiotic resistance revealed 21 populations that evaded detection in plate-based assessment of antibiotic resistance. Our method improves cultivation-based surveys of diverse microbiomes to gain deeper insights into microbial functioning and lifestyles.",1,0,1,0,0
