hypothesis,category,term,viz_embeddings,mean_embeddings
hypothesis1,sexuality,sexualattraction,0,0
hypothesis1,sexuality,sexualdevelopment,0,0
hypothesis1,sexuality,sexualdysfunction,0,0
hypothesis1,sexuality,sexualfunction,0,0
hypothesis1,sexuality,sexualintercourse,0,0
hypothesis1,sexuality,sexualorientation,0,0
hypothesis1,sexuality,sexualpartner,0,0
hypothesis1,sexuality,sexualpartners,0,0
hypothesis1,sexuality,sexualpreference,0,0
hypothesis1,sexuality,sexualreproduction,0,0
hypothesis1,sexuality,sexualities,0,0
hypothesis1,sexuality,sexuality,1,1
hypothesis1,sexuality,sexually,0,0
hypothesis1,sexuality,sexuallytransmitted,0,0
hypothesis1,sexuality,skoliosexual,0,0
hypothesis1,sexuality,skoliosexuals,0,0
hypothesis1,sexuality,unprotectedsex,0,0
hypothesis1,social_class,affluent,0,1
hypothesis1,social_class,bluecollar,0,0
hypothesis1,social_class,collegeeducated,0,0
hypothesis1,social_class,disadvantaged,1,1
hypothesis1,social_class,distressed,1,1
hypothesis1,social_class,economicallydeprived,0,0
hypothesis1,social_class,economicinstability,0,0
hypothesis1,social_class,economicallystable,0,0
hypothesis1,social_class,economicallyunstable,0,0
hypothesis1,social_class,economicallyvulnerable,0,0
hypothesis1,social_class,highincome,0,1
hypothesis1,social_class,highses,0,0
hypothesis1,social_class,higherincome,0,0
hypothesis1,social_class,highestincome,0,0
hypothesis1,social_class,highereducated,0,0
hypothesis1,social_class,highlyeducated,0,0
hypothesis1,social_class,illiterate,1,1
hypothesis1,social_class,impoverished,1,1
hypothesis1,social_class,lesseducated,0,0
hypothesis1,social_class,lessfortunate,0,0
hypothesis1,social_class,lowclass,0,0
hypothesis1,social_class,lowincome,0,1
hypothesis1,social_class,lowses,0,0
hypothesis1,social_class,lowerincome,0,1
hypothesis1,social_class,lowestincome,0,0
hypothesis1,social_class,lowerclass,0,0
hypothesis1,social_class,lower_educated,0,0
hypothesis1,social_class,lowereducated,0,0
hypothesis1,social_class,middleclass,0,1
hypothesis1,social_class,middleincome,0,1
hypothesis1,social_class,moreeducated,0,0
hypothesis1,social_class,needy,0,1
hypothesis1,social_class,poverty,1,1
hypothesis1,social_class,proletarian,0,0
hypothesis1,social_class,proletariat,0,0
hypothesis1,social_class,rulingclass,0,0
hypothesis1,social_class,rural,1,1
hypothesis1,social_class,socialclass,0,0
hypothesis1,social_class,suburb,1,1
hypothesis1,social_class,suburbs,0,0
hypothesis1,social_class,suburban,1,1
hypothesis1,social_class,socioeconomic,0,0
hypothesis1,social_class,socioeconomically,0,0
hypothesis1,social_class,socioeconomic,0,1
hypothesis1,social_class,socioeconomically,0,0
hypothesis1,social_class,undereducated,0,0
hypothesis1,social_class,underprivileged,0,0
hypothesis1,social_class,underresourced,0,0
hypothesis1,social_class,underserved,0,1
hypothesis1,social_class,undereducated,0,0
hypothesis1,social_class,underprivileged,1,1
hypothesis1,social_class,underresourced,0,0
hypothesis1,social_class,underserved,1,1
hypothesis1,social_class,uneducated,0,1
hypothesis1,social_class,upperclass,0,0
hypothesis1,social_class,upperincome,0,0
hypothesis1,social_class,urban,1,1
hypothesis1,social_class,wealthier,0,1
hypothesis1,social_class,wealthiest,0,0
hypothesis1,social_class,wealthy,0,1
hypothesis1,social_class,welleducated,0,0
hypothesis1,social_class,welloff,0,0
hypothesis1,social_class,welltodo,0,0
hypothesis1,social_class,workingclass,0,0
hypothesis2,asian,asian,1,1
hypothesis2,asian,asians,0,0
hypothesis2,asian,asianamerican,0,1
hypothesis2,asian,asianamericans,0,0
hypothesis2,black,black,1,1
hypothesis2,black,blacks,0,0
hypothesis2,black,negro,1,1
hypothesis2,black,negroes,0,0
hypothesis2,black,africanamerican,1,1
hypothesis2,black,africanamericans,0,0
hypothesis2,black,nonhispanicblack,0,0
hypothesis2,black,nonhispanicblacks,0,0
hypothesis2,ethnicity,ethnic,0,1
hypothesis2,ethnicity,ethnicity,0,1
hypothesis2,ethnicity,ethnically,0,0
hypothesis2,hispanic_latinx,hispanic,1,1
hypothesis2,hispanic_latinx,hispanics,0,0
hypothesis2,hispanic_latinx,hispanicamerican,0,1
hypothesis2,hispanic_latinx,hispanicamericans,0,0
hypothesis2,hispanic_latinx,latino,1,1
hypothesis2,hispanic_latinx,latina,0,1
hypothesis2,hispanic_latinx,latinas,0,0
hypothesis2,hispanic_latinx,latinos,0,0
hypothesis2,hispanic_latinx,latinx,0,0
hypothesis2,hispanic_latinx,latinxs,0,0
hypothesis2,native_american,alaskan,0,1
hypothesis2,native_american,alaskans,0,0
hypothesis2,native_american,alaskanative,0,0
hypothesis2,native_american,alaskanatives,0,0
hypothesis2,native_american,americanindian,0,0
hypothesis2,native_american,americanindians,0,0
hypothesis2,native_american,nativeamerican,0,0
hypothesis2,native_american,nativeamericans,0,0
hypothesis2,pacific_islander,hawaiian,0,1
hypothesis2,pacific_islander,hawaiians,0,0
hypothesis2,pacific_islander,nativehawaiian,0,0
hypothesis2,pacific_islander,nativehawaiians,0,0
hypothesis2,pacific_islander,pacificislander,0,0
hypothesis2,pacific_islander,pacificislanders,0,0
hypothesis2,race,race,0,1
hypothesis2,race,races,0,0
hypothesis2,race,racial,0,1
hypothesis2,race,racially,0,0
hypothesis2,race,racism,0,1
hypothesis2,race,racisms,0,0
hypothesis2,race,racist,0,1
hypothesis2,race,racists,0,0
hypothesis2,white,caucasian,1,1
hypothesis2,white,caucasians,0,0
hypothesis2,white,white,1,1
hypothesis2,white,whites,0,0
hypothesis2,white,caucasianamerican,0,0
hypothesis2,white,caucasianamericans,0,0
hypothesis2,white,whiteamerican,0,0
hypothesis2,white,whiteamericans,0,0
hypothesis2,white,nonhispanicwhite,0,0
hypothesis2,white,nonhispanicwhites,0,0
